,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,mid_price,days_to_expiration
37,AAPL240712C00240000,2024-07-08 15:23:33+00:00,240.0,0.09,0.08,0.09,-0.03999999,-30.769224,5410.0,10147,0.26563234375,False,REGULAR,USD,2024-07-12,-0.884420332444422,0.0
38,AAPL240712C00242500,2024-07-08 15:24:40+00:00,242.5,0.05,0.04,0.05,-0.029999997,-37.499996,1672.0,1519,0.27735097656249996,False,REGULAR,USD,2024-07-12,-0.8854890326852258,0.0
39,AAPL240712C00245000,2024-07-08 15:20:08+00:00,245.0,0.04,0.03,0.04,-0.02,-33.333336,1608.0,3540,0.30274134765625,False,REGULAR,USD,2024-07-12,-0.885756207745427,0.0
40,AAPL240712C00250000,2024-07-08 15:21:03+00:00,250.0,0.02,0.01,0.02,-0.01,-33.333336,1623.0,2466,0.3398503515625,False,REGULAR,USD,2024-07-12,-0.8862905578658288,0.0
41,AAPL240712C00255000,2024-07-08 15:18:56+00:00,255.0,0.01,0.01,0.02,-0.01,-33.333336,611.0,1306,0.398443515625,False,REGULAR,USD,2024-07-12,-0.8862905578658288,0.0
42,AAPL240712C00260000,2024-07-08 15:16:16+00:00,260.0,0.01,0.01,0.02,-0.01,-50.0,1413.0,6316,0.45313046875,False,REGULAR,USD,2024-07-12,-0.8862905578658288,0.0
43,AAPL240712C00265000,2024-07-08 15:17:13+00:00,265.0,0.01,0.0,0.01,0.0,0.0,313.0,460,0.476567734375,False,REGULAR,USD,2024-07-12,-0.8865577329260297,0.0
44,AAPL240712C00270000,2024-07-08 15:11:57+00:00,270.0,0.01,0.0,0.01,0.0,0.0,405.0,587,0.500005,False,REGULAR,USD,2024-07-12,-0.8865577329260297,0.0
45,AAPL240712C00275000,2024-07-08 14:02:37+00:00,275.0,0.02,0.0,0.01,0.01,100.0,63.0,260,0.5468795312500001,False,REGULAR,USD,2024-07-12,-0.8865577329260297,0.0
46,AAPL240712C00280000,2024-07-03 14:49:30+00:00,280.0,0.01,0.0,0.01,0.0,0.0,1.0,610,0.5937540625000001,False,REGULAR,USD,2024-07-12,-0.8865577329260297,0.0
47,AAPL240712C00285000,2024-07-08 13:38:38+00:00,285.0,0.01,0.0,0.0,0.0,0.0,6.0,1413,0.500005,False,REGULAR,USD,2024-07-12,-0.8866913204561302,0.0
48,AAPL240712C00290000,2024-07-08 14:30:47+00:00,290.0,0.01,0.0,0.01,0.0,0.0,10.0,42,0.6718782812500002,False,REGULAR,USD,2024-07-12,-0.8865577329260297,0.0
